Date,Exchange Rate
1989/10/31,141.99
1989/11/30,143.55
1989/12/31,143.62
1990/1/31,145.09
1990/2/28,145.54
1990/3/31,153.19
1990/4/30,158.5
1990/5/31,153.52
1990/6/30,153.78
1990/7/31,149.23
1990/8/31,147.46
1990/9/30,138.96
1990/10/31,129.73
1990/11/30,129.01
1990/12/31,133.72
1991/1/31,133.65
1991/2/28,130.44
1991/3/31,137.09
1991/4/30,137.15
1991/5/31,138.02
1991/6/30,139.83
1991/7/31,137.98
1991/8/31,136.85
1991/9/30,134.59
1991/10/31,130.81
1991/11/30,129.64
1991/12/31,128.07
1992/1/31,125.05
1992/2/29,127.53
1992/3/31,132.75
1992/4/30,133.59
1992/5/31,130.55
1992/6/30,126.9
1992/7/31,125.66
1992/8/31,126.34
1992/9/30,122.72
1992/10/31,121.14
1992/11/30,123.84
1992/12/31,123.98
1993/1/31,125.02
1993/2/28,120.97
1993/3/31,117.02
1993/4/30,112.37
1993/5/31,110.23
1993/6/30,107.29
1993/7/31,107.77
1993/8/31,103.72
1993/9/30,105.27
1993/10/31,106.94
1993/11/30,107.81
1993/12/31,109.72
1994/1/31,111.49
1994/2/28,106.14
1994/3/31,105.12
1994/4/30,103.48
1994/5/31,104
1994/6/30,102.69
1994/7/31,98.54
1994/8/31,99.86
1994/9/30,98.79
1994/10/31,98.4
1994/11/30,98
1994/12/31,100.17
1995/1/31,99.79
1995/2/28,98.23
1995/3/31,90.77
1995/4/30,83.53
1995/5/31,85.21
1995/6/30,84.54
1995/7/31,87.24
1995/8/31,94.56
1995/9/30,100.31
1995/10/31,100.68
1995/11/30,101.89
1995/12/31,101.86
1996/1/31,105.81
1996/2/29,105.7
1996/3/31,105.85
1996/4/30,107.4
1996/5/31,106.49
1996/6/30,108.82
1996/7/31,109.25
1996/8/31,107.84
1996/9/30,109.76
1996/10/31,112.3
1996/11/30,112.27
1996/12/31,113.74
1997/1/31,118.18
1997/2/28,123.01
1997/3/31,122.66
1997/4/30,125.47
1997/5/31,118.91
1997/6/30,114.31
1997/7/31,115.1
1997/8/31,117.89
1997/9/30,120.74
1997/10/31,121.13
1997/11/30,125.35
1997/12/31,129.52
1998/1/31,129.45
1998/2/28,125.85
1998/3/31,128.83
1998/4/30,131.81
1998/5/31,135.08
1998/6/30,140.35
1998/7/31,140.66
1998/8/31,144.76
1998/9/30,134.5
1998/10/31,121.33
1998/11/30,120.61
1998/12/31,117.4
1999/1/31,116.2
1999/2/28,118.95
1999/3/31,118.8
1999/4/30,119.45
1999/5/31,121.49
1999/6/30,121.1
1999/7/31,114.5
1999/8/31,109.7
1999/9/30,106.32
1999/10/31,104.1
1999/11/30,102.12
1999/12/31,102.21
2000/1/31,107.36
2000/2/29,110.19
2000/3/31,102.75
2000/4/30,108.16
2000/5/31,107.61
2000/6/30,105.98
2000/7/31,109.39
2000/8/31,106.63
2000/9/30,108.05
2000/10/31,108.96
2000/11/30,110.34
2000/12/31,114.27
2001/1/31,116.33
2001/2/28,117.3
2001/3/31,126.2
2001/4/30,123.49
2001/5/31,119.15
2001/6/30,124.67
2001/7/31,125.03
2001/8/31,118.75
2001/9/30,119.53
2001/10/31,122.37
2001/11/30,123.37
2001/12/31,131.63
2002/1/31,134.56
2002/2/28,133.64
2002/3/31,132.74
2002/4/30,128.49
2002/5/31,124.09
2002/6/30,119.57
2002/7/31,119.86
2002/8/31,118.44
2002/9/30,121.71
2002/10/31,122.47
2002/11/30,122.51
2002/12/31,118.74
2003/1/31,119.86
2003/2/28,118.11
2003/3/31,117.93
2003/4/30,118.84
2003/5/31,119.27
2003/6/30,119.76
2003/7/31,120.51
2003/8/31,116.89
2003/9/30,111.48
2003/10/31,109.88
2003/11/30,109.6
2003/12/31,107.33
2004/1/31,105.71
2004/2/29,109.04
2004/3/31,104.26
2004/4/30,110.36
2004/5/31,109.48
2004/6/30,108.86
2004/7/31,111.43
2004/8/31,109.11
2004/9/30,110
2004/10/31,105.78
2004/11/30,102.9
2004/12/31,102.45
2005/1/31,103.64
2005/2/28,104.56
2005/3/31,107.09
2005/4/30,104.66
2005/5/31,108.5
2005/6/30,110.8
2005/7/31,112.51
2005/8/31,110.61
2005/9/30,113.49
2005/10/31,116.38
2005/11/30,119.8
2005/12/31,117.92
2006/1/31,117.22
2006/2/28,115.75
2006/3/31,117.66
2006/4/30,113.83
2006/5/31,112.58
2006/6/30,114.43
2006/7/31,114.67
2006/8/31,117.34
2006/9/30,118.17
2006/10/31,116.94
2006/11/30,115.78
2006/12/31,119.01
2007/1/31,120.65
2007/2/28,118.44
2007/3/31,117.78
2007/4/30,119.44
2007/5/31,121.71
2007/6/30,123.14
2007/7/31,118.38
2007/8/31,115.76
2007/9/30,114.79
2007/10/31,115.29
2007/11/30,111.18
2007/12/31,111.33
2008/1/31,106.35
2008/2/29,103.85
2008/3/31,99.81
2008/4/30,103.92
2008/5/31,105.5
2008/6/30,106.09
2008/7/31,107.82
2008/8/31,108.79
2008/9/30,106.03
2008/10/31,98.44
2008/11/30,95.47
2008/12/31,90.6
2009/1/31,89.97
2009/2/28,97.52
2009/3/31,98.84
2009/4/30,98.56
2009/5/31,95.29
2009/6/30,96.31
2009/7/31,94.66
2009/8/31,93.01
2009/9/30,89.75
2009/10/31,90.08
2009/11/30,86.34
2009/12/31,92.9
2010/1/31,90.3
2010/2/28,88.85
2010/3/31,93.46
2010/4/30,93.81
2010/5/31,91.24
2010/6/30,88.39
2010/7/31,86.45
2010/8/31,84.16
2010/9/30,83.45
2010/10/31,80.39
2010/11/30,83.67
2010/12/31,81.15
2011/1/31,82.07
2011/2/28,81.76
2011/3/31,83.15
2011/4/30,81.21
2011/5/31,81.52
2011/6/30,80.52
2011/7/31,76.73
2011/8/31,76.59
2011/9/30,77.04
2011/10/31,78.2
2011/11/30,77.5
2011/12/31,76.94
2012/1/31,76.19
2012/2/29,81.22
2012/3/31,82.79
2012/4/30,79.78
2012/5/31,78.35
2012/6/30,79.77
2012/7/31,78.11
2012/8/31,78.37
2012/9/30,77.9
2012/10/31,79.76
2012/11/30,82.45
2012/12/31,86.74
2013/1/31,91.72
2013/2/28,92.53
2013/3/31,94.19
2013/4/30,97.41
2013/5/31,100.46
2013/6/30,99.12
2013/7/31,97.86
2013/8/31,98.15
2013/9/30,98.21
2013/10/31,98.35
2013/11/30,102.41
2013/12/31,105.3
2014/1/31,102.03
2014/2/28,101.8
2014/3/31,103.19
2014/4/30,102.24
2014/5/31,101.78
2014/6/30,101.3
2014/7/31,102.79
2014/8/31,104.05
2014/9/30,109.64
2014/10/31,112.3
2014/11/30,118.61
2014/12/31,119.68
2015/1/31,117.44
2015/2/28,119.51
2015/3/31,120.12
2015/4/30,119.34
2015/5/31,124.11
2015/6/30,122.49
2015/7/31,123.92
2015/8/31,121.22
2015/9/30,119.84
2015/10/31,120.61
2015/11/30,123.08
2015/12/31,120.3
2016/1/31,121.03
2016/2/29,112.66
2016/3/31,112.56
2016/4/30,106.35
2016/5/31,110.68
2016/6/30,103.25
2016/7/31,102.05
2016/8/31,103.42
2016/9/30,101.33
2016/10/31,104.81
2016/11/30,114.44
2016/12/31,116.87
2017/1/31,112.78
2017/2/28,112.75
2017/3/31,111.38
2017/4/30,111.53
2017/5/31,110.75
2017/6/30,112.35
2017/7/31,110.25
2017/8/31,109.96
2017/9/30,112.47
2017/10/31,113.62
2017/11/30,112.52
2017/12/31,112.67
2018/1/31,109.17
2018/2/28,106.67
2018/3/31,106.26
2018/4/30,109.33
2018/5/31,108.81
2018/6/30,110.66
2018/7/31,111.86
2018/8/31,111.02
2018/9/30,113.68
2018/10/31,112.93
2018/11/30,113.46
2018/12/31,109.56
2019/1/31,108.87
2019/2/28,111.37
2019/3/31,110.84
2019/4/30,111.41
2019/5/31,108.26
2019/6/30,107.88
2019/7/31,108.74
2019/8/31,106.29
2019/9/30,108.06
2019/10/31,108.02
2019/11/30,109.51
2019/12/31,108.61
2020/1/31,108.38
2020/2/29,108.07
2020/3/31,107.53
2020/4/30,107.17
2020/5/31,107.77
2020/6/30,107.92
2020/7/31,105.88
2020/8/31,105.89
2020/9/30,105.45
2020/10/31,104.64
2020/11/30,104.27
2020/12/31,103.24
2021/1/31,104.68
2021/2/28,106.58
2021/3/31,110.7
2021/4/30,109.27
2021/5/31,109.54
2021/6/30,111.1
2021/7/31,109.7
2021/8/31,110.02
2021/9/30,111.27
2021/10/31,114
2021/11/30,113.13
2021/12/31,115.08
2022/1/31,115.1
2022/2/28,114.99
2022/3/31,121.66
2022/4/30,129.83
2022/5/31,128.68
2022/6/30,135.73
2022/7/31,133.19
2022/8/31,138.96
2022/9/30,144.75
2022/10/31,148.71
2022/11/30,138.03
2022/12/31,131.11
2023/1/31,130.09
2023/2/28,136.2
2023/3/31,132.79
2023/4/30,136.28
2023/5/31,139.34
2023/6/30,144.32
2023/7/31,142.28
2023/8/31,145.53
2023/9/30,149.35
2023/10/31,151.67
2023/11/30,148.19
2023/12/31,141.06
2024/1/31,146.88
2024/2/29,149.98
2024/3/31,151.31
2024/4/30,157.8
2024/5/31,157.31
2024/6/30,160.83
2024/7/31,149.98
2024/8/31,146.16
2024/9/30,143.62
2024/10/31,152.03
